Type,Track,Sub-category,Title,Authors,Part,Section,Springer_Link,Scholar_Search,arXiv_Search,ID
Competition,Competition,Table / Chart / Diagram / Figure,ICDAR 2026 Competition on Information Extraction from Atomic Layer Deposition/Etching (ALD/E) Scientific Figures,"Fahad Ahmed, Jennifer D'Souza, Sören Auer",Part IV,Competitions,https://link.springer.com/chapter/10.1007/978-3-032-36042-7_19,https://scholar.google.com/scholar?q=%22ICDAR+2026+Competition+on+Information+Extraction+from+Atomic+Layer+Deposition%2FEtching+%28ALD%2FE%29+Scientific+Figures%22,https://arxiv.org/search/?searchtype=title&query=ICDAR+2026+Competition+on+Information+Extraction+from+Atomic+Layer+Deposition%2FEtching+%28ALD%2FE%29+Scientific+Figures,C1
Method,Conference,Table / Chart / Diagram / Figure,EMBLEM: Enhancing Multi-script Table Detection through Masking,"Dhruv Kudale, Udhay Brahmi, Ganesh Ramakrishnan",,,,https://scholar.google.com/scholar?q=%22EMBLEM%3A+Enhancing+Multi-script+Table+Detection+through+Masking%22,https://arxiv.org/search/?searchtype=title&query=EMBLEM%3A+Enhancing+Multi-script+Table+Detection+through+Masking,13
Method,Conference,Table / Chart / Diagram / Figure,Active Learning for Cascaded Object Detection: Balancing Coverage and Uncertainty in Table Extraction Pipelines,"Eliott Thomas, Mickael Coustaty, Aurélie Joseph, Gaspar Deloin, Vincent Poulain d'Andecy, Jean-Marc Ogier",Part IV,Poster Papers III,https://link.springer.com/chapter/10.1007/978-3-032-36042-7_2,https://scholar.google.com/scholar?q=%22Active+Learning+for+Cascaded+Object+Detection%3A+Balancing+Coverage+and+Uncertainty+in+Table+Extraction+Pipelines%22,https://arxiv.org/search/?searchtype=title&query=Active+Learning+for+Cascaded+Object+Detection%3A+Balancing+Coverage+and+Uncertainty+in+Table+Extraction+Pipelines,173
Method,Conference,Table / Chart / Diagram / Figure,ConRTF: Edge-Constrained Boundary Distribution Refinement for Realtime TransFormer Table Structure Recognition,"Eliott Thomas, Tri-Cong Pham, Mickael Coustaty, Aurélie Joseph, Gaspar Deloin, Vincent Poulain d'Andecy, Jean-Marc Ogier, Antoine Doucet",Part IV,Poster Papers III,https://link.springer.com/chapter/10.1007/978-3-032-36042-7_3,https://scholar.google.com/scholar?q=%22ConRTF%3A+Edge-Constrained+Boundary+Distribution+Refinement+for+Realtime+TransFormer+Table+Structure+Recognition%22,https://arxiv.org/search/?searchtype=title&query=ConRTF%3A+Edge-Constrained+Boundary+Distribution+Refinement+for+Realtime+TransFormer+Table+Structure+Recognition,192
Method,Conference,Table / Chart / Diagram / Figure,FastTab: A Fast Table Recognizer with a Tiny Recursive Module and 1D Transformers,"Laziz Hamdi, Amine Tamasna, Pascal Boisson, Thierry Paquet",Part IV,Poster Papers III,https://link.springer.com/chapter/10.1007/978-3-032-36042-7_4,https://scholar.google.com/scholar?q=%22FastTab%3A+A+Fast+Table+Recognizer+with+a+Tiny+Recursive+Module+and+1D+Transformers%22,https://arxiv.org/search/?searchtype=title&query=FastTab%3A+A+Fast+Table+Recognizer+with+a+Tiny+Recursive+Module+and+1D+Transformers,242
Method,Conference,Table / Chart / Diagram / Figure,Revisiting Structural Dependency in Autoregressive Multi-Task Table Recognition via Order-Independent Cell-Level Representations,Takaya Kawakatsu,Part I,Document Image Processing,https://link.springer.com/chapter/10.1007/978-3-032-36023-6_10,https://scholar.google.com/scholar?q=%22Revisiting+Structural+Dependency+in+Autoregressive+Multi-Task+Table+Recognition+via+Order-Independent+Cell-Level+Representations%22,https://arxiv.org/search/?searchtype=title&query=Revisiting+Structural+Dependency+in+Autoregressive+Multi-Task+Table+Recognition+via+Order-Independent+Cell-Level+Representations,259
Method,Conference,Table / Chart / Diagram / Figure,Beyond the Page Break: An LLM-based Solution for Cross-Page Table Reconstruction,"Yu Tang, Hongwei Li, Yixuan Cao, Ping Luo",,,,https://scholar.google.com/scholar?q=%22Beyond+the+Page+Break%3A+An+LLM-based+Solution+for+Cross-Page+Table+Reconstruction%22,https://arxiv.org/search/?searchtype=title&query=Beyond+the+Page+Break%3A+An+LLM-based+Solution+for+Cross-Page+Table+Reconstruction,209
Method,Conference,Table / Chart / Diagram / Figure,Efficient Table QA via TableGrid Navigation and Progressive Inference Prompting,"Amritansh Maurya, Navjot Singh, Mohammed Javed, Omar Moured",,,,https://scholar.google.com/scholar?q=%22Efficient+Table+QA+via+TableGrid+Navigation+and+Progressive+Inference+Prompting%22,https://arxiv.org/search/?searchtype=title&query=Efficient+Table+QA+via+TableGrid+Navigation+and+Progressive+Inference+Prompting,314
Method,Conference,Table / Chart / Diagram / Figure,CPAgent: A Tool-Augmented Agentic Framework for Chart Parsing,"Chen-Yu Xie, Xiao-Hui Li, Boran Wang, Fei Yin, Cheng-Lin Liu",,,,https://scholar.google.com/scholar?q=%22CPAgent%3A+A+Tool-Augmented+Agentic+Framework+for+Chart+Parsing%22,https://arxiv.org/search/?searchtype=title&query=CPAgent%3A+A+Tool-Augmented+Agentic+Framework+for+Chart+Parsing,174
Method,Conference,Table / Chart / Diagram / Figure,Bar-JEPA: Extracting Values from Bar Chart with Joint-Embedding Predictive Architecture,"Alexander Epple, Poonam Poonam, Timo Ropinski",Part I,Document Analysis Systems,https://link.springer.com/chapter/10.1007/978-3-032-36023-6_2,https://scholar.google.com/scholar?q=%22Bar-JEPA%3A+Extracting+Values+from+Bar+Chart+with+Joint-Embedding+Predictive+Architecture%22,https://arxiv.org/search/?searchtype=title&query=Bar-JEPA%3A+Extracting+Values+from+Bar+Chart+with+Joint-Embedding+Predictive+Architecture,154
