Type,Sub-category,Title,Authors,Track,Paper_Link,PDF_Link,Category
Method,-,GraphRAG-Induced Dual Knowledge Structure Graphs for Personalized Learning Path Recommendation,"Xinghe Cheng, Zihan Zhang, Jiapu Wang, Liangda Fang, Chaobo He, Quanlong Guan, Shirui Pan, Weiqi Luo",AAAI Technical Track on Data Mining & Knowledge Management I,https://ojs.aaai.org/index.php/AAAI/article/view/38479,https://ojs.aaai.org/index.php/AAAI/article/view/38479/42441,5_Text_Graph_RAG
Method,-,Stepwise Contrastive Reasoning for Retrieval-Augmented Generation over Knowledge Graphs,"Chenxiao Lin, Ye Luo, KunHong Liu, Qingqiang Wu",AAAI Technical Track on Data Mining & Knowledge Management II,https://ojs.aaai.org/index.php/AAAI/article/view/38549,https://ojs.aaai.org/index.php/AAAI/article/view/38549/42511,5_Text_Graph_RAG
Method,-,Task-Aware Retrieval Augmentation for Dynamic Recommendation,"Zhen Tao, Xinke Jiang, Qingshuai Feng, Haoyu Zhang, Lun Du, Yuchen Fang, Hao Miao, Bangquan Xie, Qingqiang Sun",AAAI Technical Track on Data Mining & Knowledge Management II,https://ojs.aaai.org/index.php/AAAI/article/view/38609,https://ojs.aaai.org/index.php/AAAI/article/view/38609/42571,5_Text_Graph_RAG
Method,-,ArchRAG: Attributed Community-based Hierarchical Retrieval-Augmented Generation,"Shu Wang, Yixiang Fang, Yingli Zhou, Xilin Liu, Yuchi Ma",AAAI Technical Track on Data Mining & Knowledge Management III,https://ojs.aaai.org/index.php/AAAI/article/view/38619,https://ojs.aaai.org/index.php/AAAI/article/view/38619/42581,5_Text_Graph_RAG
Method,-,T-Retriever: Tree-based Hierarchical Retrieval Augmented Generation for Textual Graphs,"Chunyu Wei, Huaiyu Qin, Siyuan He, Yunhai Wang, Yueguo Chen",AAAI Technical Track on Data Mining & Knowledge Management III,https://ojs.aaai.org/index.php/AAAI/article/view/38625,https://ojs.aaai.org/index.php/AAAI/article/view/38625/42587,5_Text_Graph_RAG
Method,-,Inference Scaling Law for Retrieval Augmented Generation,"Shu Zhou, Yuxuan Ao, Yunyang Xuan, Xin Wang, Tao Fan, Hao Wang",AAAI Technical Track on Data Mining & Knowledge Management III,https://ojs.aaai.org/index.php/AAAI/article/view/38692,https://ojs.aaai.org/index.php/AAAI/article/view/38692/42654,5_Text_Graph_RAG
Method,-,Multimodal Mixture-of-Experts with Retrieval Augmentation for Protein Active Site Identification,"Jiayang Wu, Jiale Zhou, Rubo Wang, Xingyi Zhang, Xun Lin, Tianxu Lv, Leong Hou U, Yefeng Zheng",AAAI Technical Track on Machine Learning IX,https://ojs.aaai.org/index.php/AAAI/article/view/39903,https://ojs.aaai.org/index.php/AAAI/article/view/39903/43864,5_Text_Graph_RAG
Method,-,DCTR: Dual-Constraint Subgraph Optimization for Knowledge Graph-based Retrieval-Augmented Generation,"Yukun Cao, Zirui Xu, Dongyang Li, Zhihao Guo, Luobin Huang, Lisheng Wang",AAAI Technical Track on Natural Language Processing I,https://ojs.aaai.org/index.php/AAAI/article/view/40265,https://ojs.aaai.org/index.php/AAAI/article/view/40265/44226,5_Text_Graph_RAG
Method,-,PathRAG: Pruning Graph-based Retrieval Augmented Generation with Relational Paths,"Boyu Chen, Zirui Guo, Zidan Yang, Yuluo Chen, Junze Chen, Zhenghao Liu, Chuan Shi, Cheng Yang",AAAI Technical Track on Natural Language Processing I,https://ojs.aaai.org/index.php/AAAI/article/view/40268,https://ojs.aaai.org/index.php/AAAI/article/view/40268/44229,5_Text_Graph_RAG
Method,-,LiR3AG: A Lightweight Rerank Reasoning Strategy Framework for Retrieval-Augmented Generation,"Guo Chen, Junjie Huang, Huaijin Xie, Fei Sun, Tao Jia",AAAI Technical Track on Natural Language Processing I,https://ojs.aaai.org/index.php/AAAI/article/view/40270,https://ojs.aaai.org/index.php/AAAI/article/view/40270/44231,5_Text_Graph_RAG
Method,-,DeFuzzRAG: Handling Fuzzy Time Expressions for Temporal Robustness in Retrieval-Augmented Generation,"Ling-Chun Chen, Hsi-Wen Chen, Ming-Syan Chen",AAAI Technical Track on Natural Language Processing I,https://ojs.aaai.org/index.php/AAAI/article/view/40276,https://ojs.aaai.org/index.php/AAAI/article/view/40276/44237,5_Text_Graph_RAG
Method,-,You Don’t Need Pre-Built Graphs for RAG: Retrieval Augmented Generation with Adaptive Reasoning Structures,"Shengyuan Chen, Chuang Zhou, Zheng Yuan, Qinggang Zhang, Zeyang Cui, Hao Chen, Yilin Xiao, Jiannong Cao, Xiao Huang",AAAI Technical Track on Natural Language Processing I,https://ojs.aaai.org/index.php/AAAI/article/view/40278,https://ojs.aaai.org/index.php/AAAI/article/view/40278/44239,5_Text_Graph_RAG
