No,Type,Title,Authors,Track,Paper_Link,PDF_Link,OpenReview
3037,Method,TabFlex: Scaling Tabular Learning to Millions with Linear Attention,"Yuchen Zeng, Tuan Dinh, Wonjun Kang, Andreas C Mueller",Main,https://proceedings.mlr.press/v267/zeng25b.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/zeng25b/zeng25b.pdf,https://openreview.net/forum?id=d60cmFf89H
3038,Method,Does One-shot Give the Best Shot? Mitigating Model Inconsistency in One-shot Federated Learning,"Hui Zeng, Wenke Huang, Tongqing Zhou, Xinyi Wu, Guancheng Wan, Yingwen Chen, Zhiping Cai",Main,https://proceedings.mlr.press/v267/zeng25c.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/zeng25c/zeng25c.pdf,https://openreview.net/forum?id=2XvF67vbCK
3039,Method,Stability and Generalization Analysis of Decentralized SGD: Sharper Bounds Beyond Lipschitzness and Smoothness,"Shuang Zeng, Yunwen Lei",Main,https://proceedings.mlr.press/v267/zeng25d.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/zeng25d/zeng25d.pdf,https://openreview.net/forum?id=g4eTrS2U8o
3040,Method,Parametric Scaling Law of Tuning Bias in Conformal Prediction,"Hao Zeng, Kangdao Liu, Bingyi Jing, Hongxin Wei",Main,https://proceedings.mlr.press/v267/zeng25e.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/zeng25e/zeng25e.pdf,https://openreview.net/forum?id=jnJLZXSOin
3041,Method,Graph Diffusion for Robust Multi-Agent Coordination,"Xianghua Zeng, Hang Su, Zhengyi Wang, Zhiyuan Lin",Main,https://proceedings.mlr.press/v267/zeng25f.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/zeng25f/zeng25f.pdf,https://openreview.net/forum?id=T5IZ32ImAB
3042,Method,LensLLM: Unveiling Fine-Tuning Dynamics for LLM Selection,"Xinyue Zeng, Haohui Wang, Junhong Lin, Jun Wu, Tyler Cody, Dawei Zhou",Main,https://proceedings.mlr.press/v267/zeng25g.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/zeng25g/zeng25g.pdf,https://openreview.net/forum?id=om0CcjvEQh
3043,Method,VersaPRM: Multi-Domain Process Reward Model via Synthetic Reasoning Data,"Thomas Zeng, Shuibai Zhang, Shutong Wu, Christian Classen, Daewon Chae, Ethan Ewer, Minjae Lee, Heeju Kim, Wonjun Kang, Jackson Kunde, Ying Fan, Jungtaek Kim, Hyung Il Koo, Kannan Ramchandran, Dimitris Papailiopoulos, Kangwook Lee",Main,https://proceedings.mlr.press/v267/zeng25h.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/zeng25h/zeng25h.pdf,https://openreview.net/forum?id=l19DmXbwPK
3044,Method,When Diffusion Models Memorize: Inductive Biases in Probability Flow of Minimum-Norm Shallow Neural Nets,"Chen Zeno, Hila Manor, Greg Ongie, Nir Weinberger, Tomer Michaeli, Daniel Soudry",Main,https://proceedings.mlr.press/v267/zeno25a.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/zeno25a/zeno25a.pdf,https://openreview.net/forum?id=WD2CKUrxmx
3045,Method,Exploring Vision Semantic Prompt for Efficient Point Cloud Understanding,"Yixin Zha, Chuxin Wang, Wenfei Yang, Tianzhu Zhang, Feng Wu",Main,https://proceedings.mlr.press/v267/zha25a.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/zha25a/zha25a.pdf,https://openreview.net/forum?id=0gX9f5xTrD
3046,Dataset,EquivaMap: Leveraging LLMs for Automatic Equivalence Checking of Optimization Formulations,"Haotian Zhai, Connor Lawless, Ellen Vitercik, Liu Leqi",Main,https://proceedings.mlr.press/v267/zhai25a.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/zhai25a/zhai25a.pdf,https://openreview.net/forum?id=jaCD2nEpyr
3047,Method,Peripheral Memory for LLMs: Integration of Sequential Memory Banks with Adaptive Querying,"Songlin Zhai, Yuan Meng, Yongrui Chen, Yiwei Wang, Guilin Qi",Main,https://proceedings.mlr.press/v267/zhai25b.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/zhai25b/zhai25b.pdf,https://openreview.net/forum?id=6FwwtwJ89I
3048,Method,Contextures: Representations from Contexts,"Runtian Zhai, Kai Yang, Burak Varıcı, Che-Ping Tsai, J Zico Kolter, Pradeep Kumar Ravikumar",Main,https://proceedings.mlr.press/v267/zhai25c.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/zhai25c/zhai25c.pdf,https://openreview.net/forum?id=4GZwFPzLgW
3049,Method,Normalizing Flows are Capable Generative Models,"Shuangfei Zhai, Ruixiang Zhang, Preetum Nakkiran, David Berthelot, Jiatao Gu, Huangjie Zheng, Tianrong Chen, Miguel Ángel Bautista, Navdeep Jaitly, Joshua M. Susskind",Main,https://proceedings.mlr.press/v267/zhai25d.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/zhai25d/zhai25d.pdf,https://openreview.net/forum?id=2uheUFcFsM
3050,Method,SPRI: Aligning Large Language Models with Context-Situated Principles,"Hongli Zhan, Muneeza Azmat, Raya Horesh, Junyi Jessy Li, Mikhail Yurochkin",Main,https://proceedings.mlr.press/v267/zhan25a.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/zhan25a/zhan25a.pdf,https://openreview.net/forum?id=klw8Ko4ENe
3051,Method,"UniMate: A Unified Model for Mechanical Metamaterial Generation, Property Prediction, and Condition Confirmation","Wangzhi Zhan, Jianpeng Chen, Dongqi Fu, Dawei Zhou",Main,https://proceedings.mlr.press/v267/zhan25b.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/zhan25b/zhan25b.pdf,https://openreview.net/forum?id=X7uVxeFS9A
3052,Method,Expected Variational Inequalities,"Brian Hu Zhang, Ioannis Anagnostides, Emanuel Tewolde, Ratip Emin Berker, Gabriele Farina, Vincent Conitzer, Tuomas Sandholm",Main,https://proceedings.mlr.press/v267/zhang25a.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/zhang25a/zhang25a.pdf,https://openreview.net/forum?id=LCbHsdtvOR
3053,Method,KABB: Knowledge-Aware Bayesian Bandits for Dynamic Expert Coordination in Multi-Agent Systems,"Jusheng Zhang, Zimeng Huang, Yijia Fan, Ningyuan Liu, Mingyan Li, Zhuojie Yang, Jiawei Yao, Jian Wang, Keze Wang",Main,https://proceedings.mlr.press/v267/zhang25aa.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/zhang25aa/zhang25aa.pdf,https://openreview.net/forum?id=AKvy9a4jho
3054,Method,Generalized Smooth Bilevel Optimization with Nonconvex Lower-Level,"Siqi Zhang, Xing Huang, Feihu Huang",Main,https://proceedings.mlr.press/v267/zhang25ab.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/zhang25ab/zhang25ab.pdf,https://openreview.net/forum?id=LVqWNYhPXR
3055,Method,Multinoulli Extension: A Lossless Yet Effective Probabilistic Framework for Subset Selection over Partition Constraints,"Qixin Zhang, Wei Huang, Can Jin, Puning Zhao, Yao Shu, Li Shen, Dacheng Tao",Main,https://proceedings.mlr.press/v267/zhang25ac.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/zhang25ac/zhang25ac.pdf,https://openreview.net/forum?id=6XQOarhYF8
3056,Method,Testing Conditional Mean Independence Using Generative Neural Networks,"Yi Zhang, Linjun Huang, Yun Yang, Xiaofeng Shao",Main,https://proceedings.mlr.press/v267/zhang25ad.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/zhang25ad/zhang25ad.pdf,https://openreview.net/forum?id=diFvAHoHry
3057,Method,SageAttention2: Efficient Attention with Thorough Outlier Smoothing and Per-thread INT4 Quantization,"Jintao Zhang, Haofeng Huang, Pengle Zhang, Jia Wei, Jun Zhu, Jianfei Chen",Main,https://proceedings.mlr.press/v267/zhang25ae.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/zhang25ae/zhang25ae.pdf,https://openreview.net/forum?id=nC8XliUxeg
3058,Method,High Dynamic Range Novel View Synthesis with Single Exposure,"Kaixuan Zhang, Hu Wang, Minxian Li, Mingwu Ren, Mao Ye, Xiatian Zhu",Main,https://proceedings.mlr.press/v267/zhang25af.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/zhang25af/zhang25af.pdf,https://openreview.net/forum?id=iMp2vzs4f8
