No,Type,Title,Authors,Volume,DOI,Paper_Link
772,Method,HyperGC: Learning Hypergraph Representations via Full Hyperedge Reconstruction and Contrastive Evaluation,"David Yoon Suk Kang, So-Bin Jung, Sang-Wook Kim",10.1145/3770855,10.1145/3770855.3817691,https://doi.org/10.1145/3770855.3817691
773,Method,ExDBSCAN: Explaining DBSCAN with Counterfactual Reasoning,"Pernille Matthews, Lena Krieger, Tommaso Amico, Arthur Zimek, Thomas Seidl, Ira Assent",10.1145/3770855,10.1145/3770855.3817692,https://doi.org/10.1145/3770855.3817692
774,Method,Estimating Mutual Information between Time Series and Temporal Event Sequences Across Diverse Analysis Tasks,"Haoji Hu, Huaqing Mao, Yijun Lin, Xiaowei Jia, Jinwei Zhou, Minoh Jeong, Yao-Yi Chiang",10.1145/3770855,10.1145/3770855.3817693,https://doi.org/10.1145/3770855.3817693
775,Method,Cross-Domain Molecular Relational Learning: Leveraging Chemical Structure-Activity Analysis,"Peiliang Zhang, Jingling Yuan, Shiqing Wu, Mengqing Hu, Chao Che, Yongjun Zhu, Lin Li",10.1145/3770855,10.1145/3770855.3817694,https://doi.org/10.1145/3770855.3817694
776,Method,LTSV: Layered Type-Constrained Shapley Value for Heterogeneous Graph Data Valuation,"Xin Tang, Quanyan Gao, Chao Li",10.1145/3770855,10.1145/3770855.3817695,https://doi.org/10.1145/3770855.3817695
777,Method,One Rounding Fits All: Memory-Efficient Approximation Algorithms for Partition-Constrained Influence Maximization,"Qixin Zhang, Qirun Zeng, Hui Lu, Pingchuan Ma, Jinhang Zuo, Renqiang Luo, Yi Yu, Dacheng Tao",10.1145/3770855,10.1145/3770855.3817696,https://doi.org/10.1145/3770855.3817696
778,Method,Mag-Mamba: Modeling Coupled Spatio-temporal Asymmetry for POI Recommendation,"Zhuoxuan Li, Tangwei Ye, Jieyuan Pei, Haina Liang, Zhongyuan Lai, Zihan Liu, Yiming Wu, Qi Zhang, Liang Hu",10.1145/3770855,10.1145/3770855.3817697,https://doi.org/10.1145/3770855.3817697
779,Method,MASS: A Complexity-Optimal Solution for Product Kernel Density Visualization,"Yue Zhong, Tsz Nam Chan, Leong Hou U, Dingming Wu, Wei Tu, Ruisheng Wang, Joshua Zhexue Huang",10.1145/3770855,10.1145/3770855.3817698,https://doi.org/10.1145/3770855.3817698
780,Method,From Tool Traces to Strategy Banks: Mining Failure Signatures for Budgeted Repository-Level Code Repair,"Shuang Cao, Rui Li",10.1145/3770855,10.1145/3770855.3817699,https://doi.org/10.1145/3770855.3817699
781,Method,"Approximate Graph Propagation Revisited: Dynamic Parameterized Queries, Tighter Bounds and Dynamic Updates","Zhuowei Zhao, Zhuo Zhang, Hanzhi Wang, Junhao Gan, Zhifeng Bao, Jianzhong Qi",10.1145/3770855,10.1145/3770855.3817816,https://doi.org/10.1145/3770855.3817816
782,Method,EPTS: Elastic Post-Training Sparsity for Efficient Large Language Model Compression,"Ke Xu, Jiaqi Wan, Wenhao Hu, Han Pu, Xiaoyun Wang",10.1145/3770855,10.1145/3770855.3817817,https://doi.org/10.1145/3770855.3817817
783,Method,ReAU: A Global-to-Local Perspective for Refining Alignment and Uniformity in Collaborative Filtering,"Yu Zhang, Yi Zhang, Yiwen Zhang",10.1145/3770855,10.1145/3770855.3817818,https://doi.org/10.1145/3770855.3817818
784,Method,Optimal Metric-Aware Class Rebalancing in Federated Learning,"Sihao Lv, Zian Le, Mingyang Zhou, Hao Liao, Rui Mao",10.1145/3770855,10.1145/3770855.3817819,https://doi.org/10.1145/3770855.3817819
785,Method,HyperPatch: Sequential Knowledge Editing Under n -ary Structural Drift,"Yu-Kai Chan, Wen-Sheng Lien, Dong-Ting Yao, Bo-Kai Ruan, Kwan-Yeung Lin, Hong-Han Shuai, Meng-Fen Chiang",10.1145/3770855,10.1145/3770855.3817820,https://doi.org/10.1145/3770855.3817820
