No,Type,Title,Authors,Track,DOI,Paper_Link,PDF_Link
448,Method,Srd-Fusion: Self-Supervised Rgb–Depth Fusion For Indoor Scene Categorization,"Brito, Alternei; Borges, Paulo; Drews-Jr, Paulo; Oliveira, Felipe",T2: Computer and Robot Vision,10.1007/978-3-032-31927-2_18,https://doi.org/10.1007/978-3-032-31927-2_18,https://link.springer.com/content/pdf/10.1007/978-3-032-31927-2_18
449,Method,Domain-Agnostic Semantic Segmentation Via Angular Separation And Synthetic Diversity,"KAS, Mohamed; Kajo, Ibrahim; Nekamiche, Noha; Ruichek, Yassine",T2: Computer and Robot Vision,10.1007/978-3-032-31927-2_23,https://doi.org/10.1007/978-3-032-31927-2_23,https://link.springer.com/content/pdf/10.1007/978-3-032-31927-2_23
450,Method,Beyond Visual Appearance: Retrieval-Based Validation Of Object Detectors Via Ood Knowledge Bases,"Moustafa, Mohamed Sabry; Bieshaar, Maarten; Albrecht, Andreas; Sick, Bernhard",T2: Computer and Robot Vision,10.1007/978-3-032-31927-2_35,https://doi.org/10.1007/978-3-032-31927-2_35,https://link.springer.com/content/pdf/10.1007/978-3-032-31927-2_35
451,Method,Attention Meets Focus: Enhancing Vision Transformers With Sparse Fractal Focus,"Borgi, Mohamed Anouar; Khadhraoui, Taher ; Borji, Rafik ; Nguyen, Thanh Phuong",T2: Computer and Robot Vision,10.1007/978-3-032-31927-2_37,https://doi.org/10.1007/978-3-032-31927-2_37,https://link.springer.com/content/pdf/10.1007/978-3-032-31927-2_37
452,Method,Cezsar: A Contrastive Embedding Method For Zero-Shot Action Recognition,"Estevam, Valter; Laroca, Rayson; Pedrini, Hélio; Menotti, David",T2: Computer and Robot Vision,10.1007/978-3-032-31927-2_42,https://doi.org/10.1007/978-3-032-31927-2_42,https://link.springer.com/content/pdf/10.1007/978-3-032-31927-2_42
453,Method,Rightfeatkd: Selective Feature-Based Knowledge Distillation,"Haque, Syed Tousiful ; Yan , Yan ; Hee Hiong Ngu, Anne",T2: Computer and Robot Vision,10.1007/978-3-032-31927-2_43,https://doi.org/10.1007/978-3-032-31927-2_43,https://link.springer.com/content/pdf/10.1007/978-3-032-31927-2_43
454,Method,Transformer Affinity For Tracking: Efficient Reidentification Of Anchor-Based Detections In Non-Constant Frame Rate Conditions,"Belmouhcine, Abdelbadie; Simon, Julien; Lefèvre, Sébastien",T2: Computer and Robot Vision,10.1007/978-3-032-31927-2_44,https://doi.org/10.1007/978-3-032-31927-2_44,https://link.springer.com/content/pdf/10.1007/978-3-032-31927-2_44
455,Method,Neuro-Geometric Zero-Shot Anomaly Detection For Lab Automation,"Gandhi, Kashish; Wu, Xiaolong; Liu, Yang; Mertz, Christoph; Xu, Min",T2: Computer and Robot Vision,10.1007/978-3-032-31930-2_2,https://doi.org/10.1007/978-3-032-31930-2_2,https://link.springer.com/content/pdf/10.1007/978-3-032-31930-2_2
456,Method,Feature-Level Interaction Explanations In Multimodal Transformers,"Kim, Yeji; Babiker, Housam; Kim, Mi-Young; Goebel, Randy",T2: Computer and Robot Vision,10.1007/978-3-032-31930-2_3,https://doi.org/10.1007/978-3-032-31930-2_3,https://link.springer.com/content/pdf/10.1007/978-3-032-31930-2_3
457,Method,Msf-Yolo: Steel Surface Defect Detection With Multi-Scale Spectral And Spatial Bidirectional Feature Fusion,"Huang, Weixing; Ma, Ying; Wang, Bo; Yang, Fengyu; He, Wenting; Chen, Ying",T2: Computer and Robot Vision,10.1007/978-3-032-31930-2_10,https://doi.org/10.1007/978-3-032-31930-2_10,https://link.springer.com/content/pdf/10.1007/978-3-032-31930-2_10
458,Method,Break Out The Silverware: Semantic Understanding Of Stored Household Items,"Levi Richter, Michaela; Mirsky, Reuth; Glickman, Oren",T2: Computer and Robot Vision,10.1007/978-3-032-31930-2_22,https://doi.org/10.1007/978-3-032-31930-2_22,https://link.springer.com/content/pdf/10.1007/978-3-032-31930-2_22
459,Method,Multimodal Knowledge Distillation For Acoustic-Aware Object Detection,"Hazra, Saheli; Hussain, Nushrat; Das, Sudip; Das, Arindam; Bhattacharya, Ujjwal",T2: Computer and Robot Vision,10.1007/978-3-032-31930-2_27,https://doi.org/10.1007/978-3-032-31930-2_27,https://link.springer.com/content/pdf/10.1007/978-3-032-31930-2_27
460,Method,Tprnet: Texture Preserving Network  For Realistic Scenery Image Extrapolation,"Lim, Hyoung Jun; Lee, Jooyoung; Choi, Jongwook; Park, Soo Hyun; Choi, Jongwon",T2: Computer and Robot Vision,10.1007/978-3-032-31930-2_43,https://doi.org/10.1007/978-3-032-31930-2_43,https://link.springer.com/content/pdf/10.1007/978-3-032-31930-2_43
461,Method,Hybrid Guided Variational Autoencoder For Visual Place Recognition,"Wang, Ni; You, Zihan; Neftci, Emre ; Schoepe, Thorben",T2: Computer and Robot Vision,10.1007/978-3-032-31933-3_8,https://doi.org/10.1007/978-3-032-31933-3_8,https://link.springer.com/content/pdf/10.1007/978-3-032-31933-3_8
462,Method,Satmap: Revisiting Satellite Maps As Prior For Online Hd Map Construction,"Mazumder, Kanak; Flohr, Fabian",T2: Computer and Robot Vision,10.1007/978-3-032-31933-3_14,https://doi.org/10.1007/978-3-032-31933-3_14,https://link.springer.com/content/pdf/10.1007/978-3-032-31933-3_14
