key,title,authors,venue,year,preprint,decision,reason
dai2024graphmllm,GraphMLLM: A Graph-Based Multi-Level Layout Language- Independent Model for Document Understanding,"Dai, He-Sen and Li, Xiao-Hui and Yin, Fei and Yan, Xudong and Mei, Shuqi and Liu, Cheng-Lin",Proc. Int. Conf. Document Analysis and Recognition (ICDAR),2024,no,included,
zhuenhancing2025,Enhancing Document Understanding with Group Position Embedding,"Zhu, Yuke and Zhang, Yue and Liu, Dongdong and Xie, Chi and Xiong, Zihua and Zheng, Bo and others",Proc. Int. Conf. Learning Representations (ICLR),2025,no,included,
nacson2025docvlm,DocVLM: Make Your VLM an Efficient Reader,"Nacson, Mor Shpigel and Aberdam, Aviad and Ganz, Roy and Ben Avraham, Elad and Golts, Alona and Kittenplon, Yair and Mazor, Shai and Litman, Ron",Proc. IEEE/CVF Conf. Comput. Vis. Pattern Recognit. (CVPR),2025,no,included,
jin-etal-2026-slideagent,SlideAgent: Hierarchical Agentic Framework for Multi-Page Visual Document Understanding,"Jin, Yiqiao and Kaur, Rachneet and Zeng, Zhen and others",Proc. Annu. Meeting Assoc. Comput. Linguistics (ACL),2026,no,included,
zhu-etal-2026-doclens,DocLens: A Tool-Augmented Multi-Agent Framework for Long Visual Document Understanding,"Zhu, Dawei and Meng, Rui and Chen, Jiefeng and others",Proc. Annu. Meeting Assoc. Comput. Linguistics (ACL),2026,no,included,
han2025mdocagent,MDocAgent: A Multi-Modal Multi-Agent Framework for Document Understanding,"Han, Siwei and Xia, Peng and Zhang, Ruiyi and Sun, Tong and Li, Yun and Zhu, Hongtu and Yao, Huaxiu",arXiv preprint arXiv:2503.13964,2025,yes,included,
mardoc2026,MARDoc: A Memory-Aware Refinement Agent Framework for Multimodal Long Document QA,Anonymous,arXiv preprint arXiv:2606.05749,2026,yes,included,
crisp2025,CRISP: Clustering Multi-Vector Representations for Denoising and Pruning,Anonymous,arXiv preprint arXiv:2505.11471,2025,yes,included,
guan2025tokenfd,A Token-level Text Image Foundation Model for Document Understanding,"Guan, Tongkun and Wang, Zining and Fu, Pei and Guo, Zhengtao and Shen, Wei and Zhou, Kai and Yue, Tiezhu and Duan, Chen and Sun, Hao and Jiang, Qianyi and others",Proc. IEEE/CVF Int. Conf. Comput. Vis. (ICCV),2025,no,included,
micenkova2011stampdetection,Stamp Detection in Color Document Images,"Micenkov\'a, Barbora and van Beusekom, Joost",Proc. Int. Conf. Document Analysis and Recognition (ICDAR),2011,no,included,
ueda1995bankchecks,Extraction of Signature and Seal Imprint from Bankchecks Using Color Information,"Ueda, K.",Proc. Int. Conf. Document Analysis and Recognition (ICDAR),1995,no,included,
