BibKey,Title,Authors,Year,Venue,DOI,URL,CitedInPaper,Link,LinkType
liregionrag2026,RegionRAG: Region-level Retrieval-Augmented Generation for Visual Document Understanding,"Li, Yinglu and Lu, Zhiying and Liu, Zhihang and Sun, Yiwei and Liu, Chuanbin and Xie, Hongtao",2026,Proc. AAAI Conf. Artificial Intelligence,,https://ojs.aaai.org/index.php/AAAI/article/view/37597,yes,https://ojs.aaai.org/index.php/AAAI/article/view/37597,paper
ma-etal-2025-visa,VISA: Retrieval Augmented Generation with Visual Source Attribution,"Ma, Xueguang and Zhuang, Shengyao and Koopman, Bevan and others",2025,Proc. Annu. Meeting Assoc. Comput. Linguistics (ACL),,https://aclanthology.org/2025.acl-long.1456/,yes,https://aclanthology.org/2025.acl-long.1456/,paper
wangregionslm2026,RegionSLM: Region-aware Question Answering on Document Screenshots,"Wang, Chao and Fan, Hehe and Yang, Huichen and Karimi, Sarvnaz and Yao, Lina and Yang, Yi",2026,Proc. Int. ACM SIGIR Conf. Res. Develop. Inf. Retrieval,10.1145/3805712.3809603,,yes,https://doi.org/10.1145/3805712.3809603,paper
liulook2026,Look as You Think: Unifying Reasoning and Visual Evidence Attribution for Verifiable Document RAG via Reinforcement Learning,"Liu, Shuochen and Luo, Pengfei and Zhang, Chao and Chen, Yuhao and Zhang, Haotian and Liu, Qi and others",2026,Proc. AAAI Conf. Artificial Intelligence,,https://ojs.aaai.org/index.php/AAAI/article/view/40488,yes,https://ojs.aaai.org/index.php/AAAI/article/view/40488,paper
sourati-etal-2026-lad,LAD-RAG: Layout-aware Dynamic RAG for Visually-Rich Document Understanding,"Sourati, Zhivar and Wang, Zheng and Liu, Marianne Menglin and others",2026,Proc. Annu. Meeting Assoc. Comput. Linguistics (ACL),,https://aclanthology.org/2026.acl-long.724/,yes,https://aclanthology.org/2026.acl-long.724/,paper
zhangdockylin2025,DocKylin: A Large Multimodal Model for Visual Document Understanding with Efficient Visual Slimming,"Zhang, Jiaxin and Yang, Wentao and Lai, Songxuan and Xie, Zecheng and Jin, Lianwen",2025,Proc. AAAI Conf. Artificial Intelligence,,https://ojs.aaai.org/index.php/AAAI/article/view/33076,yes,https://ojs.aaai.org/index.php/AAAI/article/view/33076,paper
wen-etal-2025-token,Token Pruning in Multimodal Large Language Models: Are We Solving the Right Problem?,"Wen, Zichen and Gao, Yifeng and Li, Weijia and others",2025,Findings Assoc. Comput. Linguistics: ACL,,https://aclanthology.org/2025.findings-acl.802/,yes,https://aclanthology.org/2025.findings-acl.802/,paper
liao-etal-2026-using,Are We Using the Right Benchmark: An Evaluation Framework for Visual Token Compression Methods,"Liao, Chenfei and Wang, Wensong and Wen, Zichen and others",2026,Proc. Annu. Meeting Assoc. Comput. Linguistics (ACL),,https://aclanthology.org/2026.acl-long.195/,yes,https://aclanthology.org/2026.acl-long.195/,paper
sunredeep2025,ReDeEP: Detecting Hallucination in Retrieval-Augmented Generation via Mechanistic Interpretability,"Sun, Zhongxiang and Zang, Xiaoxue and Zheng, Kai and Xu, Jun and Zhang, Xiao and Yu, Weijie and others",2025,Proc. Int. Conf. Learning Representations (ICLR),,https://openreview.net/forum?id=ztzZDzgfrh,,https://openreview.net/forum?id=ztzZDzgfrh,paper
songmeasuring2025,Measuring and Enhancing Trustworthiness of LLMs in RAG through Grounded Attributions and Learning to Refuse,"Song, Maojia and Sim, Shang Hong and Bhardwaj, Rishabh and Chieu, Hai Leong and Majumder, Navonil and Poria, Soujanya",2025,Proc. Int. Conf. Learning Representations (ICLR),,https://openreview.net/forum?id=Iyrtb9EJBp,,https://openreview.net/forum?id=Iyrtb9EJBp,paper
